_entities_1	_entities_2	_entities_3
1007001537	-27	ENVO:01000244
1007001538	-27	ENVO:00000077
1007001540	-27	ENVO:01000247
1007001541	-27	ENVO:01000248
1007001546	-27	ENVO:02000003
1007001587	-27	ENVO:02000044
1007001588	-27	ENVO:02000045
1007001589	-27	ENVO:02000046
1007001592	-27	ENVO:00002150
1007001602	-27	ENVO:02000059
1007001627	-27	ENVO:02000084
1007001637	-27	ENVO:2000004
1007001638	-27	ENVO:2000005
1008000001	-27	ENVO:01000816
1008000001	-27	ENVO:01000816
1008000240	-27	ENVO:01000240
1008001305	-27	ENVO:01001305
1008001305	-27	ENVO:01001305
1009000001	-27	ENVO:00000043
1009000002	-27	ENVO:00000264
1009000003	-27	ENVO:01000057
		ENVO:01000346
		ENVO:01000432
		ENVO:01000345
		ENVO:01001456
		ENVO:01001455

		cloud_forest
		eutrophicFreshwaterLake
		littoralZone
		mesotrophicFreshwaterLake
		montane_grasslands_and_shrublands
		oligotrophicFreshwaterLake
		TemperateOcean
		ENVO:00000019
		ENVO:00000027
		ENVO:00000043
		ENVO:00000045
		ENVO:00000045
		ENVO:00000052
		ENVO:00000067
		ENVO:00000082
		ENVO:00000090
		ENVO:00000100
		ENVO:00000198
		ENVO:00000233
		ENVO:00000326
		ENVO:00000447
		ENVO:00000549
		ENVO:00000873
		ENVO:00000894
		ENVO:00002010
		ENVO:00002030
		ENVO:00002150
		ENVO:00002871
		ENVO:01000006
		ENVO:01000024
		ENVO:01000030
		ENVO:01000049
		ENVO:01000127
		ENVO:01000174
		ENVO:01000175
		ENVO:01000177
		ENVO:01000179
		ENVO:01000180
		ENVO:01000181
		ENVO:01000197
		ENVO:01000198
		ENVO:01000202
		ENVO:01000205
		ENVO:01000220
		ENVO:01000252
		ENVO:01000253
		ENVO:01000277
		ENVO:01000331
		ENVO:01000333
		ENVO:01000340
		ENVO:01000435
		ENVO:01000435
		ENVO:01000628
		ENVO:01000687
		ENVO:01001386
		Q1342399
